Verse,Meter,char_count,new_char_count,word_count,Stressed_Verse
names of no mark or price of them not one,iambic,6,41,10,wswswswsws
'forbear my son' the hermit cries,iambic,6,33,6,wswswsws
what conjur'd awe upon the people steals,iambic,6,40,7,wswswswsws
the lover in the husband may be lost,iambic,6,36,8,wswswswsws
among the nicest of mankind,iambic,6,27,5,wswswsws
inquisitive attention while i read,iambic,6,34,5,wswswswsws
they spread their spurious treasures to the sun,iambic,6,47,8,wswsswswsws
have issued from the temple or the throne,iambic,6,41,8,wswswswsws
there's musick in it could i fetch it out,iambic,6,41,9,wswswswsws
no pyrate seiz'd his still returning freight,iambic,6,44,7,wswswswsws
the pendant isicle the frostwork fair,iambic,6,37,6,wswswswsws
where o'er the rock the scarcelywaving pine,iambic,6,43,7,wswswswswsw
and well deserve the heart i have possess'd,iambic,6,43,8,wswswswsws
and infants with a longer life repaid,iambic,6,37,7,wswswswsws
the rest are harlots by their flatt'ries won,iambic,6,44,8,wswswswsws
to thrust the charge of deeds that i detest,iambic,6,43,9,wswswswsws
forbid in vain to push his daring way,iambic,6,37,8,wswswswsws
where'er i cast my moist'ned eyes around,iambic,6,40,7,swswswsws
infused at the creation of the kind,iambic,6,35,7,wswswswsws
how few beneath auspicious planets born,iambic,6,39,6,wswswswsws
impregnated the womb of distant space,iambic,6,37,6,wswswswsws
how short those intervals for reason's aid,iambic,6,42,7,wswswswsws
reflection firm and fancy free,iambic,6,30,5,wswswsws
then happiest he whose timely hand,iambic,6,34,6,wsswswsws
fair fields appear below such as he left,iambic,6,40,8,wswswswsws
sollicit nor unwelcome to the youth,iambic,6,35,6,swswswswsw
'twas still replenished to the top,iambic,6,34,6,wswswsws
and sickens sad with care o then indulge,iambic,6,40,8,wswswswsws
hard is the fortune that your sex attends,iambic,6,41,8,wswswswsws
wander on this inhospitable coast,iambic,6,33,5,wswswswsws
as storms and thunders rattling with loud peal,iambic,6,46,8,wswswswsws
two handmaids wait the throne alike in place,iambic,6,44,8,wswswswsws
cry to the proud the cruel and unjust,iambic,6,37,8,wswswswsws
her magic zone she next unbound,iambic,6,31,6,wswswsws
dewdropping coolness to the shade retires,iambic,6,41,6,wswswswsws
and claims its honours from the chiefs of peace,iambic,6,47,9,wswswswsws
but stepdame nature niggard of her grace,iambic,6,40,7,wswswswsws
and painture here has brought forth poetry,iambic,6,42,7,wswswswsws
whose highest praise is that they live in vain,iambic,6,46,9,wswswswsws
who once was bless'd with fame and riches too,iambic,6,45,9,wswswswsws
a book to please us at a tender age,iambic,6,35,9,wswswswsws
they trust in armies and their courage dies,iambic,6,43,8,wswswswsws
the ruddy fruits should thy arrival great,iambic,6,41,7,wswswswsws
gay bloom whose transient glow can shed,iambic,6,39,7,wswswsws
she never thinks you're sick enough,iambic,6,35,6,wswswsws
were once the british lyon heard to roar,iambic,6,40,8,wswswswsws
scarce in the shade nor in the scorching day,iambic,6,44,9,wswswswsws
for to what class a writer may be doom'd,iambic,6,40,9,wswswswsws
wellpleas'd the world will leave,iambic,6,32,5,swswsw
that plagues not hymen with incessant prayers,iambic,6,45,7,wswswswsws
the blackbird strove with emulation sweet,iambic,6,41,6,wswswswsws
o britons if to pagan powers ye bow,iambic,6,35,8,wswswswswsw
her spreading offspring of the fourth degree,iambic,6,44,7,wswswswsws
but let him conquer e'er one blow be struck,iambic,6,43,9,wswswswsws
where he most happy who the least laments,iambic,6,41,8,wswswswsws
a masterpassion is the love of news,iambic,6,35,7,wswswswsws
has oft been said and oft been sung,iambic,6,35,8,wswswsws
as i drew near the cottage blaz'd,iambic,6,33,7,wswswsws
yet waving heaps as ancient ballads tell,iambic,6,40,7,wswswswsws
they make glad seizure of the vacant room,iambic,6,41,8,wswswswsws
the callender amazed to see,iambic,6,27,5,wswswsws
no more almeria wanders near,iambic,6,28,5,wswswswsws
desist and give us nature wild,iambic,6,30,6,wswswsws
be found amidst some distant frozen waves,iambic,6,41,7,wswswswsws
held'st high thy braided mane and comely brow,iambic,6,45,8,wswswswsws
hope flies with youth and leaves to age,iambic,6,39,8,wswswsws
whom hireling dervises by proxy teach,iambic,6,37,6,wsswswswsws
altho' the mighty secret's not disclos'd,iambic,6,40,6,wswswswsws
yon larks that towering sing,iambic,6,28,5,wswswsw
fly ye profane if not draw near with awe,iambic,6,40,9,wswswswsws
julia thy bridal vest prepare,iambic,6,29,5,wswswsws
to nature dead he must adopt vile art,iambic,6,37,8,wswswswsws
not so attractive lately shone the plain,iambic,6,40,7,wswswswsws
there with my cries my saviour i'll assail,iambic,6,42,8,wswswswsws
to smile such peace has innocence in death,iambic,6,42,8,wswswswsws
and hov'ring shades the darken'd eyes o'erspread,iambic,6,48,7,wswswswsws
and mildest zephyrs fann'd my swelling sails,iambic,6,44,7,wswswswsws
at length the finish'd garden to the view,iambic,6,41,8,wswswswsws
i must such tedious horrid pangs indure,iambic,6,39,7,wswswswsws
who knows not here the richest gift was found,iambic,6,45,9,wswswswsws
of brittle grandeur with rapacious hand,iambic,6,39,6,wswswswsws
glide the silverton'd verse when apollo's the theme,iambic,6,51,8,swswswswswsw
the flatt'ring future still must give the joy,iambic,6,45,8,wswswswsws
there haply by the ruddy damsel seen,iambic,6,36,7,wswswswsws
but these his talents were ybury'd stark,iambic,6,40,7,wswsswsws
whilst with encreasing steps we all pursue,iambic,6,42,7,wswswswsws
but the kind moon reflects a milder ray,iambic,6,39,8,wswswswsws
while ease and pleasure make the nations smile,iambic,6,46,8,wswswswsws
but what are numbers what are bards to me,iambic,6,41,9,wswswswsws
nor congreve's life nor cowley's fire,iambic,6,37,6,wswswswsw
then were there golden times the village round,iambic,6,46,8,wswswswsws
is sullied in the stream taking a taint,iambic,6,39,8,wsswswswsw
crimson'd and furr'd the highest honours dare,iambic,6,45,7,wswswswsws
no longer white with fleecy dew,iambic,6,31,6,wswswsws
polluting dust o'er every reverend head,iambic,6,39,6,wswswsswswsw
in bloom of life young blandford died,iambic,6,37,7,wswswsws
at length reviv'd 'mid rising heaps of slain,iambic,6,44,8,wswswswsws
and far unlike him feeds this little flock,iambic,6,42,8,wswswswsws
but art of mortal man by far the wisest sage,iambic,6,44,10,wswswswswssw
like stamford shall with scorn behold,iambic,6,37,6,wswswsws
that gloomy morn she in my absence dy'd,iambic,6,39,8,wswswswsws
let my soft prayers thy vernal glories bring,iambic,6,44,8,wswswswsws
dash'd on the stones her helpless infants die,iambic,6,45,8,wswswswsws
in verdant beauties cannot these excel,iambic,6,38,6,wswswswsws
the fiery youth's unguided rage,iambic,6,31,5,wswswswsw
too proud for dairywork or sale of eggs,iambic,6,39,8,wswswswsws
thy rosy blossoms tinge peruvia's plain,iambic,6,39,6,wswswswswsw
through beds of glittering ore and glowing gems,iambic,6,47,8,wswsswswsws
the rocking winds molest her not for see,iambic,6,40,8,wswswswsws
for unkempt hair or task unconn'd are sorely shent,iambic,6,50,9,wswswswswsws
and strength is lord of all but gentle kind,iambic,6,43,9,wswswswsws
thy voice my music and thy arms should be,iambic,6,41,9,wswswswsws
if eyes corrupt by overpartial looks,iambic,6,36,6,wswswswsws
midst intersecting cuts and winding ways,iambic,6,40,6,wswswswsws
her frighted soul was fill'd with doubts and fears,iambic,6,50,9,wswswswsws
receive my humble lays my heart was yours before,iambic,6,48,9,wswswswswsws
and peace the genuine offspring of her smile,iambic,6,44,8,wswsswswsws
the savage genius of mankind and taught,iambic,6,39,7,wswswswsws
whate'er of bliss the wit of man can feign,iambic,6,42,9,swswswswsw
to wear his livery some respect might prove,iambic,6,43,8,wswsswswsws
greatness of bulk or symmetry of parts,iambic,6,38,7,wswswswsws
and a new dance of vanity begin,iambic,6,31,7,wswswswsws
perhaps a friend a father's dead,iambic,6,32,6,wswswsws
but vainer still of that prodigious store,iambic,6,41,7,wswswswsws
that downward tumbling on the host below,iambic,6,40,7,wswswswwsws
phoebus thy days wou'd seem too long,iambic,6,36,7,swswswsw
the thunder is his voice and the red flash,iambic,6,42,9,wswswswsws
but shall the partial rage of selfish men,iambic,6,41,8,wswswswsws
while i was wand'ring on the neighbouring plain,iambic,6,47,8,wswswswswsw
not such the hours i hop'd with you to share,iambic,6,44,10,wswswswswsw
an useful tho' neglected dame,iambic,6,29,5,wswswsws
has render'd me so deep your debtor,iambic,6,35,7,wswswswsw
who uncreated reign'st like me,iambic,6,30,5,wswswsws
who feels his freehold's worth and looks elate,iambic,6,46,8,wswswswsws
then let her voice our rival cause decide,iambic,6,41,8,wswswswsws
are half so lovely as my father's field,iambic,6,39,8,wswswswsws
to her repair'd from all the neighb'ring plains,iambic,6,47,8,wswswswsws
with notes of horror wakes her trembling ear,iambic,6,44,8,wswswswswsw
oft o'er the trembling nations from afar,iambic,6,40,7,wswswswsws
and why because immortal as their lord,iambic,6,38,7,wswswswsws
when they have spoil'd their bridal shoes,iambic,6,41,7,wswswsws
till mighty conscience whose prevailing call,iambic,6,44,6,wswswswsws
her impulse nothing may restrain,iambic,6,32,5,wswswsws
that parts the night from morn come restless souls,iambic,6,50,9,wswswswsws
while drops of mercy bath'd his hoary cheek,iambic,6,43,8,wswswswsws
direct the blow here oaks aspiring rise,iambic,6,39,7,wswswswsws
all these are fruitful themes and would demand,iambic,6,46,8,wswswswsws
ne'er shall its spells my sad heart move,iambic,6,40,8,wswswsws
is this great scene unveil'd for since the claims,iambic,6,49,9,wswswswsws
and decent elegance was there,iambic,6,29,5,wswswsws
the stench remains the lustre dies away,iambic,6,39,7,wswswswsws
nay insolently dar'd to tell her grace,iambic,6,38,7,wswswswsws
is all exertion ever new,iambic,6,24,5,wswswsws
but if my vagrant fancy pants,iambic,6,29,6,wswswsws
her pleasing colours paint the future gay,iambic,6,41,7,wswswswsws
steals on o'ershad'wing nature's face,iambic,6,37,5,wswswsws
and leaves his flock the rav'nous soldier's prize,iambic,6,49,8,wswswswsws
and grave our mem'ry on the faithful stone,iambic,6,42,8,wswswswsws
deceiving womankind and pilf'ring love,iambic,6,38,5,wswswswsws
and goodness sills the cup of general joy,iambic,6,41,8,wswswswswsw
i mourn the rigour of my instant fate,iambic,6,37,8,wswswswsws
affects weak eyes much us'd to shade,iambic,6,36,7,wswswsws
beneath the moonlight shade,iambic,6,27,4,wswsws
too glorious to be gazed on in his sphere,iambic,6,41,9,wswswswswsw
we look despondency no infant near,iambic,6,34,6,wswswswsws
for what her gen'rous hand bestows,iambic,6,34,6,wswswsws
cold as the fabled god appears,iambic,6,30,6,wswswsws
to share what classic culture yields,iambic,6,36,6,wswswsws
'twill be your turn to weep and sue in vain,iambic,6,43,10,wswswswsws
conspicuous now is happiness display'd,iambic,6,38,5,wsswswswsws
a venus drawn by great apelles' hand,iambic,6,36,7,wswswswsw
