Verse,Meter,Stressed_Verse
said a yea and nay friend with a stiff hat and band,anapaestic,wswswswwswsw
each thing call'd improvement seems blacken'd with crimes,anapaestic,wswswswswsw
the morrow succeeding i got from my bed,anapaestic,wsswswswsws
says tom who's a lad of a generous spirit,anapaestic,wswswswsswsw
should airy bestow him a dash of his froth,anapaestic,wsswswswsws
take c at once the inside of my breast,anapaestic,wswswswsws
methought i was now a fine gentleman grown,anapaestic,sswswswswsw
here douglas retires from his toils to relax,anapaestic,wsswswswsws
my heart was a stranger to pain,anapaestic,wswwswsw
when i left the vile town 'gainst which ever i'll rail,anapaestic,wwswswswswsw
so i reached for your love and i bled and i cried,anapaestic,wswswswwswsw
tho' the muse had deny'd me so often before,anapaestic,wswswswwswsw
and then like a judge wise and sage,anapaestic,wswswsws
as chloe on flowers reclin'd o'er the stream,anapaestic,wsswswswsws
that'twas better to earn ere she eat her brown bread,anapaestic,swswswswswsw
to express what he feels at his heart,anapaestic,swswswsws
and that such are the words he would say,anapaestic,swswswsws
to forget the gay fashions and gestures of france,anapaestic,wswswsswswsw
yet could i restore her i'd never complain,anapaestic,swswswwssws
ever since she came into her teens,anapaestic,swswswsws
good sense and goodnature so equally join'd,anapaestic,wswswswswsw
he languish'd for freedom but languish'd in vain,anapaestic,wswswswswsw
and just now honest truth has discover'd her way,anapaestic,wswsswswswsw
which tolls for his ella when dead,anapaestic,wswwswsw
soon hurries me back to despair,anapaestic,wswswsws
i come dear companion in grief,anapaestic,swswswsw
how the british regulars fired and fled,anapaestic,swswsswswsw
and enlarg'd on the torments that troubled his breast,anapaestic,swswwswswwsw
to his chamber full hungry each pilgrim retreats,anapaestic,wwswswswswsw
whose wealth has been ella's sad fate,anapaestic,wswwswsw
saw peace my companion wherever i turn'd,anapaestic,swswsswswsw
but his character phyzzy his morals his life,anapaestic,swsswsswswsw
an exceeding great wood that's been set a great while,anapaestic,swswswswswsw
as together ye draw the free air,anapaestic,swswswsws
ah pity your soul for without our church pale,anapaestic,wswswswswsw
and when her bright form shall appear,anapaestic,wswswsws
pastora e'en wept at the tale,anapaestic,wswswswsw
in yen that was dark and hard featur'd leyke me,anapaestic,wswswswswsw
remember your chiefs by his hatchet laid low,anapaestic,wswswswswsw
what tek a bit lan frae its owner,anapaestic,wswswswsw
